5,1
2,2
15,2
22,2
26,2
30,2
6,3
11,3
15,3
16,3
31,3
20,4
23,4
10,5
17,5
19,5
20,5
22,5
15,6
1,7
15,7
2,8
10,9
21,9
3,10
12,10
28,10
13,11
19,11
23,11
19,12
21,12
23,12
26,12
11,13
12,13
13,13
31,13
13,14
18,14
24,14
25,14
23,15
10,16
26,16
12,17
14,17
17,17
19,17
29,17
4,18
8,18
24,18
28,18
29,18
15,19
24,19
4,20
7,20
14,20
16,20
22,20
11,21
16,22
17,22
21,22
23,22
19,23
22,23
24,23
23,24
17,25
26,25
4,26
8,26
18,26
6,27
9,27
31,27
5,28
22,28
28,28
31,29
12,30
25,30
12,31
2,32
15,32
23,32
14,33
17,33
7,34
10,34
18,34
29,34
2,35
8,35
10,35
14,35
19,35
28,35
29,35
9,36
19,36
5,37
27,37
1,38
5,38
23,38
27,38
11,39
13,39
20,40
21,40
22,40
24,40
8,41
18,41
21,41
22,41
25,41
29,41
4,42
6,42
14,42
26,42
27,42
20,43
24,43
3,44
17,44
19,44
26,44
27,44
28,44
16,45
26,45
31,45
8,46
13,46
17,46
24,46
14,47
16,47
28,47
7,48
16,48
19,48
23,48
24,48
30,48
11,49
26,49
14,50
18,50
22,50
3,51
18,51
20,51
8,52
12,52
18,52
27,52
16,53
26,53
12,54
23,54
23,55
20,56
28,56
4,57
13,57
27,57
12,58
27,58
29,58
30,58
16,60
29,60
5,61
30,61
3,62
20,62
22,62
7,63
13,63
8,64
11,64
1,65
9,65
15,65
5,66
12,66
17,66
23,66
3,67
11,67
12,67
28,67
11,68
17,68
28,68
8,69
11,69
13,69
8,70
10,70
12,70
14,70
16,70
21,70
23,70
6,71
12,72
21,72
31,72
7,73
21,73
28,73
7,74
10,75
12,75
14,75
28,75
18,76
30,76
12,77
13,77
29,77
16,78
23,78
29,78
1,79
5,79
9,79
13,79
16,79
5,80
16,80
28,80
5,82
6,82
16,82
5,83
3,84
16,84
18,84
5,85
15,85
13,86
28,86
4,87
23,87
7,88
14,88
28,88
29,88
2,89
17,89
28,89
7,90
9,90
24,90
27,90
28,90
8,91
24,91
26,91
20,92
30,92
18,93
7,94
25,94
28,94
21,95
2,96
8,96
9,96
11,96
23,96
24,96
26,96
29,96
26,97
29,97
31,97
22,98
29,98
9,99
14,99
21,99
26,99
21,100
9,101
28,101
29,101
1,102
15,102
25,102
26,102
29,102
7,103
8,103
11,103
24,103
27,103
29,103
4,104
6,104
13,104
25,104
5,105
28,105
3,106
12,106
13,106
31,106
4,107
6,107
23,107
28,107
23,108
13,109
27,109
12,110
29,110
31,110
6,111
16,111
6,112
9,112
28,112
7,113
14,113
22,113
23,113
24,113
25,113
26,113
